Crime,year,month,reported
Burglaries and Breakings,2012,Jul,394
Larceny Dwelling House,2012,Jul,55
Murders,2012,Jul,38
Woundings and Shootings,2012,Jul,33
Robberies,2012,Jul,410
General Larceny,2012,Jul,321
Larceny Motor Vehicles,2012,Jul,104
Kidnapping for Ransom,2012,Jul,1
Murders,2012,Aug,40
Woundings and Shootings,2012,Aug,64
Robberies,2012,Aug,415
"Rapes, Incest and Sexual Offences",2012,Aug,91
Serious Indecency,2012,Aug,11
Kidnapping,2012,Aug,23
Kidnapping for Ransom,2012,Aug,0
Burglaries and Breakings,2012,Aug,380
Fraud Offences,2012,Aug,31
General Larceny,2012,Aug,302
Larceny Dwelling House,2012,Aug,36
Narcotics,2012,Aug,25
Other,2012,Aug,98
Larceny Motor Vehicles,2012,Aug,94
Murders,2012,Sep,26
Woundings and Shootings,2012,Sep,36
"Rapes, Incest and Sexual Offences",2012,Sep,70
Serious Indecency,2012,Sep,9
Kidnapping,2012,Sep,6
Kidnapping for Ransom,2012,Sep,1
Burglaries and Breakings,2012,Sep,366
Robberies,2012,Sep,334
Fraud Offences,2012,Sep,24
General Larceny,2012,Sep,305
Larceny Motor Vehicles,2012,Sep,96
Larceny Dwelling House,2012,Sep,36
Narcotics,2012,Sep,44
Other,2012,Sep,77
Murders,2012,Oct,25
Woundings and Shootings,2012,Oct,40
"Rapes, Incest and Sexual Offences",2012,Oct,60
Serious Indecency,2012,Oct,9
Kidnapping,2012,Oct,19
Kidnapping for Ransom,2012,Oct,0
Burglaries and Breakings,2012,Oct,372
Robberies,2012,Oct,321
Fraud Offences,2012,Oct,28
General Larceny,2012,Oct,308
Larceny Motor Vehicles,2012,Oct,104
Larceny Dwelling House,2012,Oct,47
Narcotics,2012,Oct,44
Other,2012,Oct,91
Murders,2012,Nov,23
Woundings and Shootings,2012,Nov,35
"Rapes, Incest and Sexual Offences",2012,Nov,52
Serious Indecency,2012,Nov,3
Kidnapping,2012,Nov,13
Kidnapping for Ransom,2012,Nov,0
Burglaries and Breakings,2012,Nov,294
Robberies,2012,Nov,277
Fraud Offences,2012,Nov,14
General Larceny,2012,Nov,257
Larceny Motor Vehicles,2012,Nov,77
Larceny Dwelling House,2012,Nov,45
Narcotics,2012,Nov,35
Other,2012,Nov,72
Murders,2012,Dec,24
Woundings and Shootings,2012,Dec,38
"Rapes, Incest and Sexual Offences",2012,Dec,29
Serious Indecency,2012,Dec,2
Kidnapping,2012,Dec,9
Kidnapping for Ransom,2012,Dec,0
Burglaries and Breakings,2012,Dec,251
Robberies,2012,Dec,299
Fraud Offences,2012,Dec,12
General Larceny,2012,Dec,191
Larceny Motor Vehicles,2012,Dec,70
